Id,Expected
590,non-neutral
591,surprise
592,non-neutral
593,non-neutral
594,non-neutral
595,neutral
596,surprise
597,non-neutral
598,anger
599,anger
600,non-neutral
601,non-neutral
602,neutral
603,joy
604,neutral
605,surprise
606,sadness
607,sadness
608,non-neutral
609,sadness
610,neutral
611,sadness
612,anger
613,neutral
614,surprise
615,neutral
616,non-neutral
617,non-neutral
618,surprise
619,non-neutral
620,neutral
621,joy
622,surprise
623,neutral
624,neutral
625,neutral
626,neutral
627,neutral
628,joy
629,neutral
630,non-neutral
631,neutral
632,surprise
633,anger
634,joy
635,neutral
636,neutral
637,neutral
638,non-neutral
639,joy
640,neutral
641,disgust
642,surprise
643,non-neutral
644,neutral
645,neutral
646,neutral
647,joy
648,joy
649,neutral
650,neutral
651,neutral
652,neutral
653,neutral
654,neutral
655,non-neutral
656,surprise
657,neutral
658,joy
659,joy
660,neutral
661,surprise
662,anger
663,neutral
664,non-neutral
665,non-neutral
666,joy
667,neutral
668,joy
669,surprise
670,joy
671,neutral
672,neutral
673,neutral
674,non-neutral
675,non-neutral
676,anger
677,non-neutral
678,neutral
679,non-neutral
680,surprise
681,non-neutral
682,surprise
683,surprise
684,surprise
685,surprise
686,non-neutral
687,non-neutral
688,non-neutral
689,neutral
690,neutral
691,neutral
692,non-neutral
693,neutral
694,surprise
695,neutral
696,non-neutral
697,joy
698,surprise
699,neutral
700,neutral
701,surprise
702,joy
703,joy
704,joy
705,surprise
706,non-neutral
707,neutral
708,neutral
709,non-neutral
710,neutral
711,non-neutral
712,neutral
713,neutral
714,non-neutral
715,surprise
716,neutral
717,neutral
718,neutral
719,surprise
720,surprise
721,surprise
722,non-neutral
723,neutral
724,disgust
725,surprise
726,surprise
727,surprise
728,surprise
729,non-neutral
730,neutral
731,neutral
732,surprise
733,neutral
734,non-neutral
735,neutral
736,neutral
737,neutral
738,neutral
739,surprise
740,neutral
741,neutral
742,neutral
743,joy
744,joy
745,neutral
746,joy
747,disgust
748,surprise
749,neutral
750,surprise
751,anger
752,neutral
753,surprise
754,non-neutral
755,neutral
756,neutral
757,neutral
758,neutral
759,anger
760,neutral
761,non-neutral
762,neutral
763,neutral
764,non-neutral
765,neutral
766,neutral
767,joy
768,non-neutral
769,joy
770,joy
771,neutral
772,non-neutral
773,neutral
774,non-neutral
775,non-neutral
776,neutral
777,non-neutral
778,neutral
779,non-neutral
780,non-neutral
781,joy
782,neutral
783,neutral
784,sadness
785,non-neutral
786,surprise
787,surprise
788,anger
789,surprise
790,neutral
791,neutral
792,non-neutral
793,non-neutral
794,anger
795,non-neutral
796,joy
797,neutral
798,surprise
799,surprise
800,joy
801,non-neutral
802,sadness
803,anger
804,disgust
805,non-neutral
806,neutral
807,neutral
808,surprise
809,non-neutral
810,neutral
811,neutral
812,non-neutral
813,neutral
814,neutral
815,neutral
816,neutral
817,neutral
818,neutral
819,neutral
820,neutral
821,joy
822,anger
823,neutral
824,joy
825,non-neutral
826,neutral
827,neutral
828,joy
829,joy
830,joy
831,neutral
832,surprise
833,neutral
834,surprise
835,anger
836,sadness
837,sadness
838,non-neutral
839,neutral
840,neutral
841,neutral
842,anger
843,non-neutral
844,neutral
845,neutral
846,surprise
847,surprise
848,neutral
849,neutral
850,non-neutral
851,joy
852,neutral
853,neutral
854,neutral
855,surprise
856,joy
857,neutral
858,non-neutral
859,neutral
860,neutral
861,neutral
862,non-neutral
863,neutral
864,neutral
865,non-neutral
866,neutral
867,non-neutral
868,neutral
869,neutral
870,non-neutral
871,surprise
872,neutral
873,neutral
874,surprise
875,surprise
876,non-neutral
877,surprise
878,surprise
879,neutral
880,sadness
881,surprise
882,neutral
883,joy
884,neutral
885,neutral
886,neutral
887,non-neutral
888,neutral
889,disgust
890,neutral
891,joy
892,joy
893,neutral
894,neutral
895,surprise
896,surprise
897,surprise
898,neutral
899,neutral
900,neutral
901,neutral
902,joy
903,joy
904,joy
905,surprise
906,non-neutral
907,surprise
908,anger
909,neutral
910,neutral
911,joy
912,non-neutral
913,anger
914,joy
915,neutral
916,joy
917,surprise
918,surprise
919,surprise
920,neutral
921,surprise
922,disgust
923,surprise
924,surprise
925,neutral
926,anger
927,non-neutral
928,neutral
929,neutral
930,neutral
931,surprise
932,surprise
933,neutral
934,joy
935,surprise
936,non-neutral
937,joy
938,neutral
939,disgust
940,neutral
941,neutral
942,neutral
943,anger
944,sadness
945,non-neutral
946,non-neutral
947,neutral
948,non-neutral
949,non-neutral
950,surprise
951,non-neutral
952,surprise
953,surprise
954,neutral
955,neutral
956,non-neutral
957,neutral
958,non-neutral
959,non-neutral
960,neutral
961,non-neutral
962,surprise
963,non-neutral
964,neutral
965,surprise
966,surprise
967,surprise
968,surprise
969,joy
970,joy
971,surprise
972,neutral
973,neutral
974,neutral
975,neutral
976,joy
977,neutral
978,neutral
979,neutral
980,neutral
981,non-neutral
982,non-neutral
983,neutral
984,non-neutral
985,anger
986,neutral
987,neutral
988,neutral
989,neutral
990,non-neutral
991,joy
992,non-neutral
993,neutral
994,non-neutral
995,non-neutral
996,non-neutral
997,surprise
998,neutral
999,neutral
1000,non-neutral
1001,sadness
1002,surprise
1003,non-neutral
1004,joy
1005,neutral
1006,neutral
1007,neutral
1008,surprise
1009,neutral
1010,neutral
1011,neutral
1012,joy
1013,surprise
1014,neutral
1015,joy
1016,non-neutral
1017,non-neutral
1018,neutral
1019,non-neutral
1020,joy
1021,non-neutral
1022,neutral
1023,neutral
1024,neutral
1025,neutral
1026,surprise
1027,neutral
1028,non-neutral
1029,joy
1030,neutral
1031,neutral
1032,sadness
1033,non-neutral
1034,neutral
1035,joy
1036,joy
1037,neutral
1038,neutral
1039,sadness
1040,non-neutral
1041,neutral
1042,neutral
1043,neutral
1044,joy
1045,surprise
1046,surprise
1047,joy
1048,non-neutral
1049,neutral
1050,neutral
1051,anger
1052,surprise
1053,neutral
1054,neutral
1055,disgust
1056,non-neutral
1057,non-neutral
1058,non-neutral
1059,neutral
1060,neutral
1061,neutral
1062,neutral
1063,neutral
1064,joy
1065,non-neutral
1066,joy
1067,neutral
1068,neutral
1069,neutral
1070,surprise
1071,surprise
1072,surprise
1073,neutral
1074,surprise
1075,surprise
1076,surprise
1077,joy
1078,neutral
1079,non-neutral
1080,non-neutral
1081,joy
1082,neutral
1083,non-neutral
1084,neutral
1085,neutral
1086,neutral
1087,neutral
1088,non-neutral
1089,neutral
1090,neutral
1091,joy
1092,surprise
1093,neutral
1094,non-neutral
1095,non-neutral
1096,neutral
1097,neutral
1098,neutral
1099,non-neutral
1100,non-neutral
1101,non-neutral
1102,neutral
1103,neutral
1104,sadness
1105,neutral
1106,neutral
1107,neutral
1108,non-neutral
1109,neutral
1110,neutral
1111,sadness
1112,surprise
1113,joy
1114,surprise
1115,neutral
1116,non-neutral
1117,surprise
1118,neutral
1119,neutral
1120,neutral
1121,neutral
1122,neutral
1123,neutral
1124,neutral
1125,surprise
1126,neutral
1127,joy
1128,neutral
1129,neutral
1130,non-neutral
1131,surprise
1132,non-neutral
1133,joy
1134,non-neutral
1135,non-neutral
1136,surprise
1137,joy
1138,non-neutral
1139,joy
1140,neutral
1141,neutral
1142,neutral
1143,neutral
1144,neutral
1145,neutral
1146,neutral
1147,joy
1148,non-neutral
1149,surprise
1150,anger
1151,neutral
1152,surprise
1153,non-neutral
1154,neutral
1155,neutral
1156,joy
1157,anger
1158,non-neutral
1159,non-neutral
1160,non-neutral
1161,neutral
1162,anger
1163,disgust
1164,sadness
1165,non-neutral
1166,surprise
1167,neutral
1168,non-neutral
1169,surprise
1170,non-neutral
1171,non-neutral
1172,surprise
1173,neutral
1174,surprise
1175,neutral
1176,anger
1177,neutral
1178,joy
1179,surprise
1180,joy
1181,surprise
1182,non-neutral
1183,surprise
1184,neutral
1185,neutral
1186,neutral
1187,neutral
1188,surprise
1189,surprise
1190,surprise
1191,non-neutral
1192,non-neutral
1193,surprise
1194,joy
1195,neutral
1196,neutral
1197,neutral
1198,neutral
1199,neutral
1200,non-neutral
1201,neutral
1202,joy
1203,neutral
1204,non-neutral
1205,joy
1206,neutral
1207,neutral
1208,non-neutral
1209,joy
1210,neutral
1211,surprise
1212,neutral
1213,joy
1214,non-neutral
1215,neutral
1216,joy
1217,anger
1218,anger
1219,neutral
1220,joy
1221,non-neutral
1222,surprise
1223,non-neutral
1224,surprise
1225,non-neutral
1226,non-neutral
1227,joy
1228,joy
1229,neutral
1230,neutral
1231,neutral
1232,neutral
1233,anger
1234,joy
1235,neutral
1236,non-neutral
1237,joy
1238,neutral
1239,joy
1240,joy
1241,neutral
1242,non-neutral
1243,non-neutral
1244,neutral
1245,anger
1246,surprise
1247,surprise
1248,surprise
1249,surprise
1250,non-neutral
1251,neutral
1252,surprise
1253,non-neutral
1254,anger
1255,surprise
1256,surprise
1257,neutral
1258,joy
1259,neutral
1260,neutral
1261,anger
1262,non-neutral
1263,neutral
1264,joy
1265,surprise
1266,surprise
1267,non-neutral
1268,surprise
1269,surprise
1270,non-neutral
1271,neutral
1272,neutral
1273,joy
1274,joy
1275,neutral
1276,neutral
1277,neutral
1278,non-neutral
1279,surprise
1280,neutral
1281,surprise
1282,neutral
1283,surprise
1284,non-neutral
1285,non-neutral
1286,joy
1287,neutral
1288,neutral
1289,joy
1290,surprise
1291,non-neutral
1292,surprise
1293,neutral
1294,surprise
1295,surprise
1296,disgust
1297,disgust
1298,non-neutral
1299,neutral
1300,neutral
1301,neutral
1302,neutral
1303,neutral
1304,neutral
1305,joy
1306,neutral
1307,surprise
1308,non-neutral
1309,surprise
1310,surprise
1311,surprise
1312,surprise
1313,joy
1314,surprise
1315,non-neutral
1316,surprise
1317,non-neutral
1318,neutral
1319,neutral
1320,non-neutral
1321,joy
1322,non-neutral
1323,neutral
1324,neutral
1325,sadness
1326,surprise
1327,non-neutral
1328,surprise
1329,neutral
1330,non-neutral
1331,neutral
1332,neutral
1333,neutral
1334,disgust
1335,joy
1336,surprise
1337,non-neutral
1338,neutral
1339,neutral
1340,surprise
1341,neutral
1342,sadness
1343,surprise
1344,sadness
1345,joy
1346,surprise
1347,surprise
1348,surprise
1349,anger
1350,non-neutral
1351,non-neutral
1352,non-neutral
1353,surprise
1354,non-neutral
1355,neutral
1356,neutral
1357,neutral
1358,neutral
1359,neutral
1360,neutral
1361,non-neutral
1362,sadness
1363,neutral
1364,neutral
1365,neutral
1366,neutral
1367,surprise
1368,neutral
1369,surprise
1370,neutral
1371,surprise
1372,neutral
1373,neutral
1374,non-neutral
1375,joy
1376,surprise
1377,joy
1378,non-neutral
1379,sadness
1380,surprise
1381,non-neutral
1382,neutral
1383,surprise
1384,surprise
1385,neutral
1386,neutral
1387,non-neutral
1388,joy
1389,non-neutral
1390,neutral
1391,surprise
1392,non-neutral
1393,joy
1394,non-neutral
1395,neutral
1396,neutral
1397,non-neutral
1398,neutral
1399,neutral
1400,neutral
1401,neutral
1402,surprise
1403,neutral
1404,surprise
1405,joy
1406,joy
1407,neutral
1408,neutral
1409,surprise
1410,non-neutral
1411,joy
1412,joy
1413,surprise
1414,surprise
1415,joy
1416,non-neutral
1417,surprise
1418,neutral
1419,surprise
1420,non-neutral
1421,surprise
1422,non-neutral
1423,neutral
1424,neutral
1425,neutral
1426,surprise
1427,non-neutral
1428,neutral
1429,joy
1430,neutral
1431,neutral
1432,neutral
1433,joy
1434,non-neutral
1435,neutral
1436,surprise
1437,neutral
1438,joy
1439,surprise
1440,surprise
1441,joy
1442,surprise
1443,neutral
1444,neutral
1445,non-neutral
1446,non-neutral
1447,neutral
1448,neutral
1449,neutral
1450,neutral
1451,neutral
1452,neutral
1453,non-neutral
1454,neutral
1455,non-neutral
1456,non-neutral
1457,surprise
1458,neutral
1459,anger
1460,fear
1461,non-neutral
1462,neutral
1463,joy
1464,non-neutral
1465,neutral
1466,neutral
1467,surprise
1468,surprise
1469,neutral
1470,neutral
1471,joy
1472,neutral
1473,joy
1474,neutral
1475,non-neutral
1476,neutral
1477,neutral
1478,non-neutral
1479,non-neutral
1480,neutral
1481,neutral
1482,neutral
1483,non-neutral
1484,sadness
1485,neutral
1486,neutral
1487,neutral
1488,neutral
1489,non-neutral
1490,neutral
1491,non-neutral
1492,anger
1493,surprise
1494,joy
1495,non-neutral
1496,surprise
1497,surprise
1498,non-neutral
1499,surprise
1500,joy
1501,surprise
1502,non-neutral
1503,neutral
1504,neutral
1505,non-neutral
1506,non-neutral
1507,neutral
1508,non-neutral
1509,surprise
1510,surprise
1511,non-neutral
1512,anger
1513,neutral
1514,neutral
1515,neutral
1516,neutral
1517,non-neutral
1518,surprise
1519,non-neutral
1520,surprise
1521,surprise
1522,non-neutral
1523,sadness
1524,neutral
1525,non-neutral
1526,anger
1527,neutral
1528,neutral
1529,neutral
1530,neutral
1531,neutral
1532,joy
1533,neutral
1534,non-neutral
1535,non-neutral
1536,neutral
1537,joy
1538,joy
1539,neutral
1540,neutral
1541,non-neutral
1542,joy
1543,neutral
1544,non-neutral
1545,surprise
1546,neutral
1547,joy
1548,neutral
1549,surprise
1550,anger
1551,non-neutral
1552,non-neutral
1553,neutral
1554,non-neutral
1555,surprise
1556,surprise
1557,surprise
1558,non-neutral
1559,surprise
1560,joy
1561,non-neutral
1562,non-neutral
1563,neutral
1564,neutral
1565,neutral
1566,neutral
1567,neutral
1568,neutral
1569,neutral
1570,neutral
1571,joy
1572,neutral
1573,neutral
1574,non-neutral
1575,surprise
1576,neutral
1577,neutral
1578,neutral
1579,non-neutral
1580,non-neutral
1581,neutral
1582,non-neutral
1583,surprise
1584,joy
1585,joy
1586,joy
1587,joy
1588,neutral
1589,non-neutral
1590,neutral
1591,joy
1592,neutral
1593,surprise
1594,non-neutral
1595,surprise
1596,neutral
1597,surprise
1598,neutral
1599,anger
1600,neutral
1601,anger
1602,neutral
1603,neutral
1604,joy
1605,neutral
1606,neutral
1607,surprise
1608,neutral
1609,neutral
1610,neutral
1611,surprise
1612,neutral
1613,non-neutral
1614,non-neutral
1615,non-neutral
1616,neutral
1617,sadness
1618,non-neutral
1619,joy
1620,neutral
1621,neutral
1622,non-neutral
